2021.10.25 17:41:07 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.10.25 17:41:08 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.10.25 17:41:09 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://127.0.0.1:9001]
2021.10.25 17:41:10 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.1.0.47736 / 98d09fa4f1400143dbea332952db3aa6984be125
2021.10.25 17:41:10 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.10.25 17:41:10 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\Users\shril\Desktop\tasks\hmtask1\opt\sonarqube\data
2021.10.25 17:41:10 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.10.25 17:41:10 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\Users\shril\Desktop\tasks\hmtask1\opt\sonarqube
2021.10.25 17:41:12 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.10.25 17:41:12 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.29.0.36737 / 51d48f1f36d94330bd7cd751ca3bd01e858e6486
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.4.2.2002 / faa7d4f1407df67df7ada53caf677ab783721173
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.2.2641 / 11f07506915923b3a0e39e4e34280644c035b925
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.4.0.2754 / 38f7ff864ae15152c9f1efc3014594f7e7ca7b6e
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.1.1157 / 83478572b9f23efac29de15e30c7758bbb0c0e47
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 7.3.0.27589 / c8c513194e28fe5b8f4e5db5b220c573650f4432
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 8.4.0.16431 / a11eb10b34d41ae596cd9218d1ed0c538b69dc58
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Kotlin Code Quality and Security / 2.2.0.499 / 5dd102bda528f83955875a811f429398bfea9ed1
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.20.0.8080 / 74271733c3bf37a351dc9ad421e4f72ec399ad38
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.6.0.8488 / d52bd3c2c03b39a49d37dee663ca9d5edd758590
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Ruby Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Scala Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.29.0.36737 / 51d48f1f36d94330bd7cd751ca3bd01e858e6486
2021.10.25 17:41:12 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin XML Code Quality and Security / 2.3.0.3155 / 69e75392176736ddd1abaf57cad63c1cc30a9e82
2021.10.25 17:41:15 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2021.10.25 17:41:15 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2021.10.25 17:41:15 INFO  web[][DbMigrations] Executing DB migrations...
2021.10.25 17:41:15 INFO  web[][DbMigrations] #1 'Create initial schema'...
2021.10.25 17:41:15 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=614ms
2021.10.25 17:41:15 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=92ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table'...
